second,latitude,longitude,datetime_utc530
1,26.913096,80.939474,"Wednesday, 20/05/2026 06:05:04 PM GMT +05:30"
2,26.913117,80.939408,"Wednesday, 20/05/2026 06:05:05 PM GMT +05:30"
3,26.913117,80.939408,
4,26.913128,80.939306,"Wednesday, 20/05/2026 06:05:07 PM GMT +05:30"
5,26.913128,80.939306,"Wednesday, 20/05/2026 06:05:08 PM GMT +05:30"
6,26.913136,80.939192,"Wednesday, 20/05/2026 06:05:10 PM GMT +05:30"
7,26.913173,80.93901,20/05/2026 06:05:10 PM
8,26.913173,80.93901,
9,26.913173,80.93901,"Wednesday, 20/05/2026 06:05:12 PM GMT +05:30"
10,26.913166,80.938862,"Wednesday, 20/05/2026 06:05:13 PM GMT +05:30"
11,26.913166,80.938862,"Wednesday, 20/05/2026 06:05:14 PM GMT +05:30"
12,26.913227,80.938592,20/05/2026 06:05:15 PM
13,26.913284,80.938464,"Wednesday, 20/05/2026 06:05:16 PM GMT +05:30"
14,26.913284,80.938464,"Wednesday, 20/05/2026 06:05:17 PM GMT +05:30"
15,26.913318,80.938329,"Wednesday, 20/05/2026 06:05:18 PM GMT +05:30"
16,26.913318,80.938329,"Wednesday, 20/05/2026 06:05:19 PM GMT +05:30"
17,26.913318,80.938329,"Wednesday, 20/05/2026 06:05:20 PM GMT +05:30"
18,26.913368,80.938193,"Wednesday, 20/05/2026 06:05:21 PM GMT +05:30"
19,26.913437,80.938071,
20,26.913437,80.938071,"Wednesday, 20/05/2026 06:05:24 PM GMT +05:30"
21,26.913524,80.937963,"Wednesday, 20/05/2026 06:05:25 PM GMT +05:30"
22,26.913524,80.937963,"Wednesday, 20/05/2026 06:05:26 PM GMT +05:30"
23,26.913524,80.937963,"Wednesday, 20/05/2026 06:05:27 PM GMT +05:30"
24,26.913636,80.937879,"Wednesday, 20/05/2026 06:05:28 PM GMT +05:30"
25,26.913775,80.937816,"Wednesday, 20/05/2026 06:05:29 PM GMT +05:30"
26,26.913775,80.937816,"Wednesday, 20/05/2026 06:05:30 PM GMT +05:30"
